# Generic Ad Server template file (user: 63978 ds_id: 2) 
#       Tracking Code 
Date	Tracking Code	Event 21
01/17/2011	56291	344
01/17/2011	55886	31
01/17/2011	64011	681
01/17/2011	64012	205
01/17/2011	64183	102
01/17/2011	64185	11
01/17/2011	64117	16
01/17/2011	64189	25
01/17/2011	64037	702
01/17/2011	63588	14
01/17/2011	64436	3894
01/17/2011	65292	1465
01/17/2011	64973	3210
01/17/2011	65987	17
01/17/2011	65991	99
01/17/2011	65992	23
01/17/2011	65994	268
01/17/2011	65997	31
01/17/2011	65999	323
01/17/2011	66004	301
01/17/2011	66016	2385
01/17/2011	66017	2456
01/17/2011	66019	5530
01/17/2011	66020	580
01/17/2011	66027	102
01/17/2011	66023	2503
01/17/2011	66026	242
01/17/2011	66029	483
01/17/2011	66038	1218
01/17/2011	66040	232
01/17/2011	65941	11
01/17/2011	65942	511
01/17/2011	65943	76
01/17/2011	65944	318
01/17/2011	65945	355
01/17/2011	65946	366
01/17/2011	65947	853
01/17/2011	65957	698
01/17/2011	65959	368
01/17/2011	65966	8390
01/17/2011	65972	4756
01/17/2011	65975	4739
01/17/2011	65976	3751
01/17/2011	65927	244
01/17/2011	65928	15
01/17/2011	65929	2222
01/17/2011	65934	38
01/17/2011	66138	149
01/17/2011	66142	3102
01/17/2011	66150	10372
01/17/2011	66153	2261
01/17/2011	66154	5583
01/17/2011	66157	2006
01/17/2011	66160	86
01/17/2011	66163	3902
01/17/2011	66167	5690
01/17/2011	66170	5325
01/17/2011	66172	7486
01/17/2011	66184	1094
01/17/2011	66186	4748
01/17/2011	66188	10137
01/17/2011	66190	4664
01/17/2011	66191	2894
01/17/2011	66193	2005
01/17/2011	66194	2011
01/17/2011	66195	2047
01/17/2011	66200	126
01/17/2011	66209	1253
01/17/2011	66210	1859
01/17/2011	66211	1439
01/17/2011	66214	2873
01/17/2011	66217	1373
01/17/2011	66222	2831
01/17/2011	66226	105
01/17/2011	66229	3584
01/17/2011	66231	2400
01/17/2011	66232	2425
01/17/2011	66233	3818
01/17/2011	66238	1018
01/17/2011	66240	97
01/17/2011	66243	1930
01/17/2011	66244	85
01/17/2011	66042	223
01/17/2011	66043	49
01/17/2011	66044	980
01/17/2011	66050	29
01/17/2011	66071	6
01/17/2011	66073	265
01/17/2011	66075	2066
01/17/2011	66077	11
01/17/2011	66078	725
01/17/2011	66084	26
01/17/2011	66085	12
01/17/2011	66503	26
01/17/2011	66321	368
01/17/2011	66323	3831
01/17/2011	66332	8134
01/17/2011	66339	4324
01/17/2011	66342	2022
01/17/2011	66344	4528
01/17/2011	66346	2149
01/17/2011	66359	29
01/17/2011	66470	39
01/17/2011	66950	162
01/17/2011	67387	29777
01/17/2011	67388	18281
01/17/2011	67389	19275
01/17/2011	67391	3214
01/17/2011	67392	20299
01/17/2011	67394	20770
01/17/2011	67399	5623
01/17/2011	67402	4235
01/17/2011	67404	9050
01/17/2011	67407	8539
01/17/2011	67408	28
01/17/2011	67413	3
01/17/2011	67414	1
01/17/2011	67416	2907
01/17/2011	67470	292
01/17/2011	67471	109
01/17/2011	67474	640
01/17/2011	67475	6307
01/17/2011	67478	8569
01/17/2011	67481	2416
01/17/2011	67484	206
01/17/2011	67485	4318
01/17/2011	67487	3336
01/17/2011	67488	3001
01/17/2011	67489	49
01/17/2011	67490	3650
01/17/2011	67491	3942
01/17/2011	67493	2757
01/17/2011	67496	1741
01/17/2011	67498	2142
01/17/2011	67500	9030
01/17/2011	67507	1083
01/17/2011	67509	867
01/17/2011	67511	58
01/17/2011	67516	19
01/17/2011	67518	1318
01/17/2011	67520	2644
01/17/2011	67521	133
01/17/2011	67523	3831
01/17/2011	67525	1860
01/17/2011	67526	2391
01/17/2011	67532	952
01/17/2011	67530	548
01/17/2011	67533	49
01/17/2011	67537	9320
01/17/2011	67540	10291
01/17/2011	67542	3275
01/17/2011	67546	2917
01/17/2011	67547	631
01/17/2011	67682	211
01/17/2011	67688	22
01/17/2011	67691	1
01/17/2011	67692	5
01/17/2011	67693	6
01/17/2011	67694	23
01/17/2011	67296	3215
01/17/2011	67299	4865
01/17/2011	67300	3179
01/17/2011	67302	21
01/17/2011	67304	2054
01/17/2011	67305	2024
01/17/2011	67306	2252
01/17/2011	67307	3091
01/17/2011	67309	2066
01/17/2011	67312	1957
01/17/2011	67314	1912
01/17/2011	67315	23046
01/17/2011	67318	5395
01/17/2011	67322	13740
01/17/2011	67429	17196
01/17/2011	67430	20265
01/17/2011	67432	15283
01/17/2011	67434	15234
01/17/2011	67436	1620
01/17/2011	67438	1950
01/17/2011	67440	6059
01/17/2011	67442	2643
01/17/2011	67443	2482
01/17/2011	67445	3404
01/17/2011	67446	50
01/17/2011	67451	2016
01/17/2011	67455	657
01/17/2011	67457	474
01/17/2011	67459	506
01/17/2011	67460	799
01/17/2011	67461	781
01/17/2011	67462	829
01/17/2011	67463	803
01/17/2011	67464	771
01/17/2011	67468	845
01/17/2011	67716	2873
01/17/2011	67718	1
01/17/2011	67699	4586
01/17/2011	67701	2992
01/17/2011	67702	2774
01/17/2011	67704	12506
01/17/2011	67705	8056
01/17/2011	67706	5464
01/17/2011	67708	57
01/17/2011	67709	4386
01/17/2011	67710	4399
01/17/2011	67715	4682
01/17/2011	67711	5236
01/17/2011	67712	5333
01/17/2011	67714	20259
01/17/2011	67996	13
01/17/2011	67999	148
01/17/2011	68002	17
01/17/2011	68005	93
01/17/2011	68008	21072
01/17/2011	68010	23252
