# Generic Ad Server template file (user: 63978 ds_id: 2) 
#       Tracking Code 
Date	Tracking Code	Event 21
01/22/2011	56291	342
01/22/2011	63082	181
01/22/2011	64011	745
01/22/2011	64012	324
01/22/2011	64183	73
01/22/2011	64189	17
01/22/2011	64037	588
01/22/2011	64436	24
01/22/2011	65292	1255
01/22/2011	64973	11
01/22/2011	65987	21
01/22/2011	65992	14
01/22/2011	65994	12
01/22/2011	65997	15
01/22/2011	65999	52
01/22/2011	66004	173
01/22/2011	66020	106
01/22/2011	66031	53
01/22/2011	66037	17
01/22/2011	65951	948
01/22/2011	65975	54
01/22/2011	65927	167
01/22/2011	65929	1061
01/22/2011	65934	90
01/22/2011	66138	153
01/22/2011	66168	63
01/22/2011	66169	47
01/22/2011	66171	88
01/22/2011	66191	15
01/22/2011	66195	21
01/22/2011	66205	11
01/22/2011	66226	104
01/22/2011	66243	1282
01/22/2011	66244	148
01/22/2011	66252	1309
01/22/2011	66262	3353
01/22/2011	66042	151
01/22/2011	66043	52
01/22/2011	66075	190
01/22/2011	66079	54
01/22/2011	66319	21
01/22/2011	66354	17
01/22/2011	66470	39
01/22/2011	67388	28
01/22/2011	67403	176
01/22/2011	67405	136
01/22/2011	67407	11
01/22/2011	67408	16
01/22/2011	67411	12
01/22/2011	67412	31
01/22/2011	67470	65
01/22/2011	67471	28
01/22/2011	67485	23
01/22/2011	67537	24
01/22/2011	67546	104
01/22/2011	67547	1386
01/22/2011	67682	368
01/22/2011	67688	16
01/22/2011	67691	4
01/22/2011	67692	18
01/22/2011	67693	3
01/22/2011	67694	54
01/22/2011	67305	2047
01/22/2011	67307	3121
01/22/2011	67309	2030
01/22/2011	67318	41
01/22/2011	67429	17
01/22/2011	67434	19
01/22/2011	67456	3111
01/22/2011	67457	483
01/22/2011	67459	648
01/22/2011	67460	856
01/22/2011	67461	821
01/22/2011	67462	1714
01/22/2011	67463	294
01/22/2011	67464	228
01/22/2011	67468	561
01/22/2011	67718	1
01/22/2011	67700	1975
01/22/2011	67701	3035
01/22/2011	67702	2742
01/22/2011	68008	107
01/22/2011	68010	24
01/22/2011	68015	3470
01/22/2011	68023	15
01/22/2011	68027	27
01/22/2011	68038	760
