# Generic Ad Server template file (user: 63978 ds_id: 2) 
#       Tracking Code 
Date	Tracking Code	Event 21
12/01/2010	64961	4262
12/01/2010	64948	3280
12/01/2010	64966	4467
12/01/2010	64963	1894
12/01/2010	64968	791
12/01/2010	64967	408
12/01/2010	64972	367
12/01/2010	64973	2275
12/01/2010	64969	384
12/01/2010	64975	2
12/01/2010	56291	74
12/01/2010	55886	35
12/01/2010	45085	20
12/01/2010	47805	37
12/01/2010	63140	188
12/01/2010	63158	79
12/01/2010	63175	60
12/01/2010	63202	2344
12/01/2010	63204	1268
12/01/2010	63206	1294
12/01/2010	63207	1302
12/01/2010	63210	1149
12/01/2010	63212	438
12/01/2010	63215	638
12/01/2010	63218	647
12/01/2010	63221	662
12/01/2010	63224	438
12/01/2010	63226	659
12/01/2010	63232	439
12/01/2010	63235	657
12/01/2010	63238	444
12/01/2010	63241	446
12/01/2010	63244	424
12/01/2010	63247	455
12/01/2010	63285	668
12/01/2010	63286	654
12/01/2010	63289	406
12/01/2010	63291	668
12/01/2010	63294	438
12/01/2010	63295	420
12/01/2010	63297	639
12/01/2010	63298	1307
12/01/2010	63300	1905
12/01/2010	62924	13
12/01/2010	62935	215
12/01/2010	64016	480
12/01/2010	64035	89
12/01/2010	64036	71
12/01/2010	64037	529
12/01/2010	63579	16
12/01/2010	63587	6685
12/01/2010	64418	3370
12/01/2010	64260	5258
12/01/2010	63959	1251
12/01/2010	63903	14
12/01/2010	63073	845
12/01/2010	63085	14
12/01/2010	63994	1621
12/01/2010	64004	12
12/01/2010	65271	11023
12/01/2010	64957	244
12/01/2010	64962	29
12/01/2010	64964	13
12/01/2010	65274	5676
12/01/2010	65276	5323
12/01/2010	65277	210
12/01/2010	65286	2875
12/01/2010	65287	7452
12/01/2010	65288	2804
12/01/2010	65290	4489
12/01/2010	65292	1843
12/01/2010	65293	5742
12/01/2010	65303	4404
12/01/2010	65304	1217
12/01/2010	65305	647
12/01/2010	65306	714
12/01/2010	65307	710
12/01/2010	65308	1027
12/01/2010	65309	1042
12/01/2010	64261	13
12/01/2010	64270	2245
12/01/2010	64280	124
12/01/2010	64285	11
12/01/2010	64289	11702
12/01/2010	64293	2219
12/01/2010	64295	423
12/01/2010	64300	26
12/01/2010	64309	2302
12/01/2010	64318	6587
12/01/2010	64320	3710
12/01/2010	64189	45
12/01/2010	64191	675
12/01/2010	64203	279
12/01/2010	64227	235
12/01/2010	64233	23
12/01/2010	63229	635
12/01/2010	64163	47
12/01/2010	64169	75
12/01/2010	64175	685
12/01/2010	64182	308
12/01/2010	64185	214
12/01/2010	64212	2647
12/01/2010	64213	14
12/01/2010	64117	6634
12/01/2010	64122	13
12/01/2010	64131	73
12/01/2010	64135	3477
12/01/2010	62926	2682
12/01/2010	62937	4153
12/01/2010	62939	3804
12/01/2010	63600	2525
12/01/2010	63599	726
12/01/2010	63898	8002
12/01/2010	63905	3444
12/01/2010	63906	6120
12/01/2010	63910	9015
12/01/2010	63914	5805
12/01/2010	63920	10506
12/01/2010	63922	3122
12/01/2010	63925	2260
12/01/2010	63927	2462
12/01/2010	63930	3110
12/01/2010	63968	2578
12/01/2010	63970	1054
12/01/2010	63972	2733
12/01/2010	63962	3110
12/01/2010	63965	943
12/01/2010	63961	802
12/01/2010	63985	2825
12/01/2010	63987	3152
12/01/2010	63989	2802
12/01/2010	63990	2765
12/01/2010	63992	3198
12/01/2010	63993	3954
12/01/2010	63995	1754
12/01/2010	63996	6676
12/01/2010	63997	2730
12/01/2010	63998	2206
12/01/2010	63999	1654
12/01/2010	64002	3307
12/01/2010	64003	2014
12/01/2010	64006	634
12/01/2010	64008	432
12/01/2010	64009	289
12/01/2010	64010	397
12/01/2010	64011	950
12/01/2010	64012	538
12/01/2010	64166	900
12/01/2010	64170	200
12/01/2010	64177	3468
12/01/2010	64184	107599
12/01/2010	64186	12916
12/01/2010	64187	259
12/01/2010	64188	469
12/01/2010	64190	398
12/01/2010	64202	5344
12/01/2010	64204	5506
12/01/2010	64208	5309
12/01/2010	64215	10469
12/01/2010	64119	143
12/01/2010	64136	9
12/01/2010	64147	13830
12/01/2010	64118	347
12/01/2010	64271	3307
12/01/2010	64275	4836
12/01/2010	64276	4140
12/01/2010	64279	11271
12/01/2010	64284	6320
12/01/2010	64286	8518
12/01/2010	64264	4300
12/01/2010	64292	2201
12/01/2010	64299	1900
12/01/2010	64303	1551
12/01/2010	64304	4505
12/01/2010	64306	2450
12/01/2010	64314	1501
12/01/2010	64315	1502
12/01/2010	64316	1747
12/01/2010	64291	1
12/01/2010	64222	3126
12/01/2010	64223	2
12/01/2010	64232	200
12/01/2010	64321	260
