# Generic Ad Server template file (user: 63978 ds_id: 2) 
#       Tracking Code 
Date	Tracking Code	Event 21
02/09/2011	55886	12
02/09/2011	64011	1088
02/09/2011	64012	541
02/09/2011	64183	94
02/09/2011	64189	35
02/09/2011	64037	705
02/09/2011	65992	30
02/09/2011	66004	405
02/09/2011	65927	705
02/09/2011	65929	1793
02/09/2011	65934	102
02/09/2011	66240	157
02/09/2011	66243	1837
02/09/2011	66075	224
02/09/2011	66470	45
02/09/2011	67547	1630
02/09/2011	67668	27
02/09/2011	67679	1551
02/09/2011	67680	6815
02/09/2011	67682	325
02/09/2011	67685	150
02/09/2011	67687	275
02/09/2011	67462	1430
02/09/2011	67468	1008
02/09/2011	67718	3
02/09/2011	67998	54
02/09/2011	68000	4005
02/09/2011	68001	31
02/09/2011	68002	11
02/09/2011	68008	21570
02/09/2011	68010	23372
02/09/2011	68020	17
02/09/2011	68026	8862
02/09/2011	68028	2667
02/09/2011	68029	2469
02/09/2011	68030	2414
02/09/2011	68031	2498
02/09/2011	68032	2408
02/09/2011	68033	3180
02/09/2011	68034	2061
02/09/2011	68035	2437
02/09/2011	68036	1720
02/09/2011	68037	2450
02/09/2011	68038	1421
02/09/2011	68095	58
02/09/2011	68096	5308
02/09/2011	68097	4298
02/09/2011	68101	7856
02/09/2011	68104	1
02/09/2011	68106	459
02/09/2011	68107	20205
02/09/2011	68108	5268
02/09/2011	68109	14252
02/09/2011	68110	12224
02/09/2011	68111	3845
