# Generic Ad Server template file (user: 63978 ds_id: 2) 
#       Tracking Code 
Date	Tracking Code	Event 21
01/11/2011	55886	63
01/11/2011	63914	22
01/11/2011	64011	590
01/11/2011	64012	212
01/11/2011	64183	61
01/11/2011	64037	487
01/11/2011	64436	3442
01/11/2011	65292	1023
01/11/2011	64973	2141
01/11/2011	65991	17
01/11/2011	65992	22
01/11/2011	65993	2215
01/11/2011	65997	28
01/11/2011	65999	318
01/11/2011	66001	278
01/11/2011	66004	398
01/11/2011	66006	32
01/11/2011	66008	1857
01/11/2011	66011	5138
01/11/2011	66014	66
01/11/2011	66015	1460
01/11/2011	66016	3560
01/11/2011	66017	4543
01/11/2011	66020	180
01/11/2011	66027	709
01/11/2011	66023	2581
01/11/2011	66026	1034
01/11/2011	66029	622
01/11/2011	66030	9
01/11/2011	66033	35
01/11/2011	66037	94
01/11/2011	66038	1197
01/11/2011	66040	271
01/11/2011	65941	186
01/11/2011	65942	510
01/11/2011	65943	72
01/11/2011	65944	386
01/11/2011	65945	273
01/11/2011	65946	323
01/11/2011	65947	887
01/11/2011	65956	604
01/11/2011	65957	716
01/11/2011	65961	33
01/11/2011	65963	13028
01/11/2011	65965	132
01/11/2011	65972	4704
01/11/2011	65973	2112
01/11/2011	65975	4725
01/11/2011	65976	3663
01/11/2011	65901	81
01/11/2011	65906	8641
01/11/2011	65907	8261
01/11/2011	65913	2706
01/11/2011	65914	1760
01/11/2011	65915	3840
01/11/2011	65918	3521
01/11/2011	65924	4095
01/11/2011	65927	181
01/11/2011	65928	16
01/11/2011	65929	3285
01/11/2011	65931	3434
01/11/2011	65932	1900
01/11/2011	65933	2268
01/11/2011	65934	44
01/11/2011	66138	153
01/11/2011	66141	1612
01/11/2011	66142	3009
01/11/2011	66145	1562
01/11/2011	66143	1611
01/11/2011	66149	10188
01/11/2011	66150	9954
01/11/2011	66153	2341
01/11/2011	66154	5269
01/11/2011	66155	4926
01/11/2011	66161	3508
01/11/2011	66162	4317
01/11/2011	66164	11
01/11/2011	66165	3562
01/11/2011	66167	3954
01/11/2011	66173	2656
01/11/2011	66174	13
01/11/2011	66177	5667
01/11/2011	66183	23
01/11/2011	66184	8753
01/11/2011	66191	3004
01/11/2011	66193	1956
01/11/2011	66194	1969
01/11/2011	66195	38
01/11/2011	66196	2065
01/11/2011	66202	1674
01/11/2011	66209	1658
01/11/2011	66210	2221
01/11/2011	66211	1871
01/11/2011	66215	3762
