# Generic Ad Server template file (user: 63978 ds_id: 2) 
#       Tracking Code 
Date	Tracking Code	Event 21
12/19/2010	62924	110
12/19/2010	62928	16
12/19/2010	63600	3091
12/19/2010	63915	63
12/19/2010	63924	18
12/19/2010	63927	375
12/19/2010	63959	1426
12/19/2010	63961	817
12/19/2010	63962	3268
12/19/2010	63993	64
12/19/2010	64006	761
12/19/2010	64008	393
12/19/2010	64011	443
12/19/2010	64012	219
12/19/2010	64157	55
12/19/2010	64175	42
12/19/2010	64183	83
12/19/2010	64185	59
12/19/2010	64186	85
12/19/2010	64204	59
12/19/2010	64213	51
12/19/2010	64215	41
12/19/2010	64117	43
12/19/2010	64141	70
12/19/2010	64189	49
12/19/2010	64199	30
12/19/2010	64222	17
12/19/2010	64228	72
12/19/2010	64231	89
12/19/2010	64233	20
12/19/2010	64013	105
12/19/2010	64037	472
12/19/2010	63562	63
12/19/2010	63563	48
12/19/2010	63584	684
12/19/2010	63589	3132
12/19/2010	64422	56
12/19/2010	64425	19
12/19/2010	64432	267
12/19/2010	64433	734
12/19/2010	64435	1282
12/19/2010	64436	2275
12/19/2010	65278	16
12/19/2010	65281	2117
12/19/2010	65283	4472
12/19/2010	65293	5280
12/19/2010	65305	192
12/19/2010	65306	179
12/19/2010	65307	216
12/19/2010	65308	311
12/19/2010	65309	300
12/19/2010	64955	573
12/19/2010	64956	636
12/19/2010	64961	61
12/19/2010	64962	25
12/19/2010	64966	1734
12/19/2010	64967	794
12/19/2010	64968	826
12/19/2010	64973	1075
12/19/2010	64975	3538
12/19/2010	65555	6447
12/19/2010	65587	22070
12/19/2010	65992	30
12/19/2010	66004	192
12/19/2010	66019	64
12/19/2010	65935	20925
12/19/2010	65936	171
12/19/2010	65937	12
12/19/2010	65938	19
12/19/2010	65905	5547
12/19/2010	65924	70
12/19/2010	65926	78
12/19/2010	65928	16
12/19/2010	65931	1114
12/19/2010	65932	641
12/19/2010	65933	737
12/19/2010	65934	100
12/19/2010	66162	87
12/19/2010	66166	101
12/19/2010	66178	13
12/19/2010	66191	14
12/19/2010	66198	2174
12/19/2010	66201	121
12/19/2010	66239	133
12/19/2010	66241	861
12/19/2010	66248	3821
12/19/2010	66249	17
12/19/2010	66261	58
12/19/2010	66042	550
12/19/2010	66043	83
12/19/2010	66071	11
12/19/2010	66073	232
12/19/2010	66075	634
