# Generic Ad Server template file (user: 63978 ds_id: 2) 
#       Tracking Code 
Date	Tracking Code	Event 21
02/26/2011	64011	1279
02/26/2011	64012	1612
02/26/2011	64183	17
02/26/2011	64189	21
02/26/2011	64209	11
02/26/2011	64037	774
02/26/2011	65992	12
02/26/2011	65927	383
02/26/2011	65929	1424
02/26/2011	65934	71
02/26/2011	66243	481
02/26/2011	66470	80
02/26/2011	67547	2048
02/26/2011	67685	39
02/26/2011	67687	104
02/26/2011	67446	41
02/26/2011	67456	3124
02/26/2011	67458	27
02/26/2011	67465	2283
02/26/2011	67466	1903
02/26/2011	67467	1817
02/26/2011	67468	1542
02/26/2011	67718	1
02/26/2011	68002	11
02/26/2011	68008	17
02/26/2011	68009	14
02/26/2011	68010	12
02/26/2011	68025	71
02/26/2011	68038	1855
02/26/2011	68571	6652
02/26/2011	68575	4619
02/26/2011	68589	32
02/26/2011	68591	28
02/26/2011	68599	43
02/26/2011	68605	12
