# Generic Ad Server template file (user: 63978 ds_id: 2) 
#       Tracking Code 
Date	Tracking Code	Event 21
12/05/2010	47805	63
12/05/2010	45085	20
12/05/2010	56291	187
12/05/2010	62928	20
12/05/2010	62932	77
12/05/2010	62935	200
12/05/2010	63140	145
12/05/2010	63173	26
12/05/2010	63183	12
12/05/2010	63600	2540
12/05/2010	63898	1911
12/05/2010	63921	21
12/05/2010	63073	15
12/05/2010	63077	11
12/05/2010	63959	1427
12/05/2010	63961	933
12/05/2010	63962	3879
12/05/2010	63964	2517
12/05/2010	64006	623
12/05/2010	64008	369
12/05/2010	64009	857
12/05/2010	64010	372
12/05/2010	64011	868
12/05/2010	64012	355
12/05/2010	64170	232
12/05/2010	64184	106
12/05/2010	64185	13
12/05/2010	64186	55
12/05/2010	64202	14
12/05/2010	64215	15
12/05/2010	64117	36
12/05/2010	64118	418
12/05/2010	64120	10833
12/05/2010	64121	17
12/05/2010	64139	25
12/05/2010	64160	188
12/05/2010	64260	5561
12/05/2010	64289	11
12/05/2010	64295	409
12/05/2010	64297	197
12/05/2010	64309	2328
12/05/2010	64189	70
12/05/2010	64209	3
12/05/2010	64222	30
12/05/2010	64227	166
12/05/2010	64233	11
12/05/2010	64234	39
12/05/2010	64243	12
12/05/2010	64244	1664
12/05/2010	64037	572
12/05/2010	63541	11
12/05/2010	63584	602
12/05/2010	63585	458
12/05/2010	63587	7026
12/05/2010	63588	17181
12/05/2010	63589	2554
12/05/2010	64425	12
12/05/2010	64432	926
12/05/2010	64433	531
12/05/2010	64434	465
12/05/2010	64435	788
12/05/2010	64436	2851
12/05/2010	64955	722
12/05/2010	64962	18
12/05/2010	64966	3679
12/05/2010	64967	527
12/05/2010	64968	631
12/05/2010	64973	1299
12/05/2010	64975	5
12/05/2010	65283	4274
12/05/2010	65305	18
12/05/2010	65306	19
12/05/2010	65307	18
12/05/2010	65309	25
