# Generic Ad Server template file (user: 63978 ds_id: 2) 
#       Tracking Code 
Date	Tracking Code	Event 21
01/19/2011	56291	304
01/19/2011	55886	27
01/19/2011	64011	713
01/19/2011	64012	246
01/19/2011	64183	81
01/19/2011	64189	24
01/19/2011	64037	621
01/19/2011	64436	3587
01/19/2011	65292	1638
01/19/2011	64973	2734
01/19/2011	65988	14562
01/19/2011	65992	28
01/19/2011	65994	302
01/19/2011	65997	39
01/19/2011	65999	310
01/19/2011	66004	439
01/19/2011	66015	1230
01/19/2011	66017	12
01/19/2011	66018	4562
01/19/2011	66019	15
01/19/2011	66020	2230
01/19/2011	66027	1607
01/19/2011	66023	2491
01/19/2011	66024	1783
01/19/2011	66026	30
01/19/2011	66029	527
01/19/2011	66030	956
01/19/2011	66038	1267
01/19/2011	66040	235
01/19/2011	65942	506
01/19/2011	65943	81
01/19/2011	65944	372
01/19/2011	65945	289
01/19/2011	65946	318
01/19/2011	65947	1143
01/19/2011	65951	5134
01/19/2011	65959	43
01/19/2011	65963	13869
01/19/2011	65975	4716
01/19/2011	65976	3709
01/19/2011	65927	177
01/19/2011	65929	1946
01/19/2011	65934	26
01/19/2011	66138	156
01/19/2011	66142	3028
01/19/2011	66149	10162
01/19/2011	66152	3244
01/19/2011	66153	1870
01/19/2011	66154	5525
01/19/2011	66157	1422
01/19/2011	66160	5091
01/19/2011	66163	3900
01/19/2011	66167	5754
01/19/2011	66170	53
01/19/2011	66171	7897
01/19/2011	66172	7484
01/19/2011	66174	6896
01/19/2011	66176	3385
01/19/2011	66179	6052
01/19/2011	66180	5044
01/19/2011	66185	6802
01/19/2011	66188	11
01/19/2011	66190	4644
01/19/2011	66191	2486
01/19/2011	66193	1727
01/19/2011	66194	1779
01/19/2011	66195	1789
01/19/2011	66196	2125
01/19/2011	66202	1886
01/19/2011	66206	12
01/19/2011	66209	1812
01/19/2011	66210	2283
01/19/2011	66211	1668
01/19/2011	66220	2629
01/19/2011	66223	3758
01/19/2011	66226	107
01/19/2011	66230	15
01/19/2011	66243	2217
01/19/2011	66244	124
01/19/2011	66246	16074
01/19/2011	66250	6375
01/19/2011	66042	216
01/19/2011	66043	35
01/19/2011	66044	953
01/19/2011	66049	71
01/19/2011	66050	12
01/19/2011	66071	24
01/19/2011	66073	311
01/19/2011	66075	230
01/19/2011	66078	863
01/19/2011	66080	1802
01/19/2011	66084	14
01/19/2011	66503	157
01/19/2011	66513	671
01/19/2011	66321	43
01/19/2011	66324	5414
01/19/2011	66332	24
01/19/2011	66345	10011
01/19/2011	66353	89
01/19/2011	66357	4093
01/19/2011	66359	2828
01/19/2011	66470	58
01/19/2011	67388	18078
01/19/2011	67389	19253
01/19/2011	67392	19922
01/19/2011	67393	38478
01/19/2011	67394	20656
01/19/2011	67395	7886
01/19/2011	67396	5127
01/19/2011	67398	6982
01/19/2011	67401	186
01/19/2011	67404	82
01/19/2011	67405	9221
01/19/2011	67407	8148
01/19/2011	67408	13859
01/19/2011	67411	5873
01/19/2011	67413	5
01/19/2011	67414	1
01/19/2011	67416	2018
01/19/2011	67470	74
01/19/2011	67471	135
01/19/2011	67472	472
01/19/2011	67474	4392
01/19/2011	67475	745
01/19/2011	67478	890
01/19/2011	67481	2379
01/19/2011	67485	4176
01/19/2011	67487	3118
01/19/2011	67488	3312
01/19/2011	67489	3818
01/19/2011	67490	3621
01/19/2011	67491	3670
01/19/2011	67493	2602
01/19/2011	67494	1682
01/19/2011	67496	1285
01/19/2011	67509	850
01/19/2011	67516	4827
01/19/2011	67520	4057
01/19/2011	67521	25
01/19/2011	67523	5856
01/19/2011	67525	3160
01/19/2011	67526	2599
01/19/2011	67532	1246
01/19/2011	67530	2347
01/19/2011	67533	126
01/19/2011	67537	9881
01/19/2011	67539	7055
01/19/2011	67540	8002
01/19/2011	67542	3422
01/19/2011	67544	11
01/19/2011	67546	2926
