# Generic Ad Server template file (user: 63978 ds_id: 2) 
#       Tracking Code 
Date	Tracking Code	Event 21
12/12/2010	56291	375
12/12/2010	62930	111
12/12/2010	62937	132
12/12/2010	63140	160
12/12/2010	63600	2795
12/12/2010	63073	12
12/12/2010	63959	1236
12/12/2010	63961	726
12/12/2010	63962	3077
12/12/2010	63993	55
12/12/2010	64006	449
12/12/2010	64008	254
12/12/2010	64009	562
12/12/2010	64010	241
12/12/2010	64011	911
12/12/2010	64012	274
12/12/2010	64170	163
12/12/2010	64186	235
12/12/2010	64118	234
12/12/2010	64120	12759
12/12/2010	64138	14
12/12/2010	64140	19845
12/12/2010	64148	656
12/12/2010	64153	2477
12/12/2010	64260	5429
12/12/2010	64266	28
12/12/2010	64275	120
12/12/2010	64295	419
12/12/2010	64189	55
12/12/2010	64207	2
12/12/2010	64209	6
12/12/2010	64222	17
12/12/2010	64225	7355
12/12/2010	64227	192
12/12/2010	64231	467
12/12/2010	64233	25
12/12/2010	64234	72
12/12/2010	64244	1674
12/12/2010	64037	493
12/12/2010	63541	21940
12/12/2010	63543	9648
12/12/2010	63561	91
12/12/2010	63563	54
12/12/2010	63584	366
12/12/2010	63585	353
12/12/2010	63587	23
12/12/2010	63588	20
12/12/2010	63589	3250
12/12/2010	64420	53
12/12/2010	64422	81
12/12/2010	64432	671
12/12/2010	64433	317
12/12/2010	64434	306
12/12/2010	64435	555
12/12/2010	64436	2257
12/12/2010	65283	4275
12/12/2010	65293	5517
12/12/2010	65305	657
12/12/2010	65306	686
12/12/2010	65307	698
12/12/2010	65308	996
12/12/2010	65309	990
12/12/2010	64956	799
12/12/2010	64961	87
12/12/2010	64962	22
12/12/2010	64966	3376
12/12/2010	64967	439
12/12/2010	64968	400
12/12/2010	64973	1285
12/12/2010	64975	3614
12/12/2010	65513	598
12/12/2010	65514	1296
12/12/2010	65516	402
12/12/2010	65553	16
12/12/2010	65538	9
12/12/2010	65539	201
12/12/2010	65540	87
12/12/2010	65542	27
12/12/2010	65545	2
12/12/2010	65555	6594
12/12/2010	65556	3984
12/12/2010	65560	1056
12/12/2010	65562	79
12/12/2010	65570	74
12/12/2010	65576	1746
12/12/2010	65578	1342
12/12/2010	65580	4121
12/12/2010	65586	6932
12/12/2010	65587	24697
12/12/2010	65614	10
12/12/2010	65597	21
12/12/2010	65599	1196
12/12/2010	65600	1661
12/12/2010	65601	1491
12/12/2010	65602	3065
12/12/2010	65603	1682
12/12/2010	65604	1986
12/12/2010	65609	58
