# Generic Ad Server template file (user: 63978 ds_id: 2) 
#       Tracking Code 
Date	Tracking Code	Event 21
12/17/2010	56291	378
12/17/2010	55886	51
12/17/2010	62924	3474
12/17/2010	62926	57
12/17/2010	62933	12
12/17/2010	63140	63
12/17/2010	63599	226
12/17/2010	63600	3011
12/17/2010	63908	4211
12/17/2010	63911	3678
12/17/2010	63921	5635
12/17/2010	63924	955
12/17/2010	63931	3607
12/17/2010	63932	24
12/17/2010	63073	7071
12/17/2010	63959	1166
12/17/2010	63961	673
12/17/2010	63962	3096
12/17/2010	63986	2501
12/17/2010	63987	2675
12/17/2010	63988	2363
12/17/2010	63990	2361
12/17/2010	63991	3779
12/17/2010	63994	1763
12/17/2010	63995	1969
12/17/2010	63997	2958
12/17/2010	63998	2263
12/17/2010	63999	1730
12/17/2010	64002	2945
12/17/2010	64005	26
12/17/2010	64006	657
12/17/2010	64008	341
12/17/2010	64011	350
12/17/2010	64012	130
12/17/2010	64183	105
12/17/2010	64186	11
12/17/2010	64213	15
12/17/2010	64117	30
12/17/2010	64141	13
12/17/2010	64189	123
12/17/2010	64222	29
12/17/2010	64228	96
12/17/2010	64231	135
12/17/2010	64037	419
12/17/2010	63534	21
12/17/2010	63538	18
12/17/2010	63542	1044
12/17/2010	63544	80
12/17/2010	63546	458
12/17/2010	63552	17733
12/17/2010	63555	3180
12/17/2010	63558	4258
12/17/2010	63562	4177
12/17/2010	63563	3353
12/17/2010	63564	6979
12/17/2010	63569	23
12/17/2010	63573	1990
12/17/2010	63574	2755
12/17/2010	63575	2562
12/17/2010	63579	6160
12/17/2010	63584	667
12/17/2010	63585	571
12/17/2010	63589	2565
12/17/2010	64416	2445
12/17/2010	64417	2189
12/17/2010	64419	2814
12/17/2010	64420	3987
12/17/2010	64422	3561
12/17/2010	64423	3405
12/17/2010	64425	12
12/17/2010	64427	1920
12/17/2010	64428	12
12/17/2010	64430	6866
12/17/2010	64432	253
12/17/2010	64433	657
12/17/2010	64434	599
12/17/2010	64435	1042
12/17/2010	64436	2314
12/17/2010	65273	5415
12/17/2010	65274	5034
12/17/2010	65279	12
12/17/2010	65283	3779
12/17/2010	65284	2847
12/17/2010	65286	2780
12/17/2010	65288	3015
12/17/2010	65290	9595
12/17/2010	65293	4464
12/17/2010	65302	3403
12/17/2010	65305	898
12/17/2010	65306	950
12/17/2010	65307	951
12/17/2010	65308	1381
12/17/2010	65309	1433
12/17/2010	64949	994
12/17/2010	64950	1475
12/17/2010	64955	484
12/17/2010	64956	660
12/17/2010	64957	186
12/17/2010	64959	6840
12/17/2010	64961	3743
12/17/2010	64962	12
12/17/2010	64963	2207
12/17/2010	64966	1538
12/17/2010	64967	700
12/17/2010	64968	716
12/17/2010	64969	500
12/17/2010	64972	491
12/17/2010	64973	1290
12/17/2010	64975	3692
12/17/2010	65513	554
12/17/2010	65514	1013
12/17/2010	65515	931
12/17/2010	65516	120
12/17/2010	65518	110
12/17/2010	65519	30
12/17/2010	65522	35
12/17/2010	65523	52
12/17/2010	65531	30509
12/17/2010	65532	145
12/17/2010	65539	150
12/17/2010	65542	19
12/17/2010	65545	7
12/17/2010	65546	1
12/17/2010	65547	11
12/17/2010	65555	5504
12/17/2010	65556	3412
12/17/2010	65558	1737
12/17/2010	65566	5303
12/17/2010	65567	4312
12/17/2010	65573	9876
12/17/2010	65572	9957
12/17/2010	65576	1732
12/17/2010	65578	1688
12/17/2010	65579	6783
12/17/2010	65580	4495
12/17/2010	65582	1428
12/17/2010	65584	5339
12/17/2010	65586	5173
12/17/2010	65587	19231
12/17/2010	65614	15
12/17/2010	65600	1383
12/17/2010	65601	1400
12/17/2010	65602	2786
12/17/2010	65603	1604
12/17/2010	65604	2192
12/17/2010	65605	7719
12/17/2010	65606	4
12/17/2010	65609	2344
12/17/2010	65990	4394
12/17/2010	65992	15
12/17/2010	66000	854
12/17/2010	66003	337
12/17/2010	66004	63
12/17/2010	66005	255
12/17/2010	66009	196
12/17/2010	66010	3857
12/17/2010	66014	57
12/17/2010	66018	1596
12/17/2010	66021	457
12/17/2010	66027	104
12/17/2010	66023	190
12/17/2010	66033	17
12/17/2010	66037	55
12/17/2010	66039	438
12/17/2010	65935	18930
12/17/2010	65937	6665
12/17/2010	65939	346
12/17/2010	65943	84
12/17/2010	65944	1
12/17/2010	65945	443
12/17/2010	65958	594
12/17/2010	65962	658
12/17/2010	65965	90
12/17/2010	65967	5003
12/17/2010	65969	5392
12/17/2010	65970	4940
12/17/2010	65971	5002
12/17/2010	65901	103
12/17/2010	65902	34
12/17/2010	65904	2960
12/17/2010	65905	4862
12/17/2010	65906	2512
12/17/2010	65907	2425
12/17/2010	65909	10195
12/17/2010	65913	3028
12/17/2010	65914	2191
12/17/2010	65915	4416
12/17/2010	65916	4823
12/17/2010	65917	33
12/17/2010	65923	2825
12/17/2010	65926	2882
12/17/2010	65928	11807
12/17/2010	65931	2504
12/17/2010	65932	1356
12/17/2010	65933	1648
12/17/2010	65934	100
12/17/2010	66145	1627
12/17/2010	66143	1629
12/17/2010	66147	9518
12/17/2010	66156	1407
12/17/2010	66157	1544
12/17/2010	66158	4233
12/17/2010	66162	4041
12/17/2010	66166	4544
12/17/2010	66169	3505
12/17/2010	66170	4517
12/17/2010	66174	25
12/17/2010	66176	3686
12/17/2010	66178	6584
12/17/2010	66182	19015
12/17/2010	66183	15301
12/17/2010	66184	22
12/17/2010	66188	30
12/17/2010	66191	1994
12/17/2010	66193	1433
12/17/2010	66194	1431
12/17/2010	66196	1476
12/17/2010	66198	2068
12/17/2010	66201	3586
12/17/2010	66203	42
12/17/2010	66205	12482
12/17/2010	66206	40
12/17/2010	66209	2755
12/17/2010	66210	3402
12/17/2010	66211	3831
12/17/2010	66213	3198
12/17/2010	66229	147
12/17/2010	66233	3849
12/17/2010	66236	3692
12/17/2010	66237	16
12/17/2010	66239	123
12/17/2010	66241	815
12/17/2010	66246	5808
12/17/2010	66248	3308
12/17/2010	66249	998
12/17/2010	66251	1454
12/17/2010	66255	18972
12/17/2010	66260	1640
12/17/2010	66042	1023
12/17/2010	66043	98
12/17/2010	66044	782
12/17/2010	66046	635
12/17/2010	66050	39
12/17/2010	66071	33
12/17/2010	66073	344
12/17/2010	66075	601
12/17/2010	66076	10178
12/17/2010	66079	845
12/17/2010	66084	2
12/17/2010	66085	5
