# Generic Ad Server template file (user: 63978 ds_id: 2) 
#       Tracking Code 
Date	Tracking Code	Event 21
12/18/2010	56291	420
12/18/2010	62924	11
12/18/2010	63600	3025
12/18/2010	63911	39
12/18/2010	63921	14
12/18/2010	63924	41
12/18/2010	63927	389
12/18/2010	63073	43
12/18/2010	63959	1475
12/18/2010	63961	932
12/18/2010	63962	3320
12/18/2010	63990	21
12/18/2010	64006	769
12/18/2010	64008	407
12/18/2010	64011	530
12/18/2010	64012	197
12/18/2010	64183	69
12/18/2010	64185	14
12/18/2010	64186	21
12/18/2010	64204	11
12/18/2010	64208	13
12/18/2010	64213	11
12/18/2010	64215	15
12/18/2010	64117	14
12/18/2010	64141	15
12/18/2010	64189	36
12/18/2010	64209	13
12/18/2010	64228	75
12/18/2010	64231	98
12/18/2010	64235	13
12/18/2010	64037	417
12/18/2010	63541	15
12/18/2010	63542	104
12/18/2010	63544	15
12/18/2010	63546	48
12/18/2010	63564	120
12/18/2010	63579	24
12/18/2010	63584	644
12/18/2010	63589	3047
12/18/2010	64425	14
12/18/2010	64430	24
12/18/2010	64432	263
12/18/2010	64433	733
12/18/2010	64435	1200
12/18/2010	64436	2092
12/18/2010	65274	49
12/18/2010	65281	21
12/18/2010	65283	4463
12/18/2010	65293	5613
12/18/2010	65305	1373
12/18/2010	65306	1434
12/18/2010	65307	1408
12/18/2010	65308	2030
12/18/2010	65309	2093
12/18/2010	64949	119
12/18/2010	64950	142
12/18/2010	64955	588
12/18/2010	64956	698
12/18/2010	64962	18
12/18/2010	64966	1557
12/18/2010	64967	763
12/18/2010	64968	763
12/18/2010	64973	1232
12/18/2010	64975	3607
12/18/2010	65514	15
12/18/2010	65518	22
12/18/2010	65555	6566
12/18/2010	65584	53
12/18/2010	65586	23
12/18/2010	65587	22547
12/18/2010	65990	405
12/18/2010	65992	20
12/18/2010	66000	89
12/18/2010	66004	215
12/18/2010	66010	50
12/18/2010	65935	21134
12/18/2010	65937	21
12/18/2010	65958	52
12/18/2010	65962	52
12/18/2010	65967	12
12/18/2010	65969	49
12/18/2010	65904	47
12/18/2010	65905	5642
12/18/2010	65915	31
12/18/2010	65916	36
12/18/2010	65928	1006
12/18/2010	65931	4499
12/18/2010	65932	2535
12/18/2010	65933	2979
12/18/2010	65934	132
12/18/2010	66169	23
12/18/2010	66170	17
12/18/2010	66182	73
12/18/2010	66183	50
12/18/2010	66191	13
12/18/2010	66198	1875
12/18/2010	66201	108
12/18/2010	66205	39
12/18/2010	66239	125
12/18/2010	66241	842
12/18/2010	66248	3985
12/18/2010	66249	18
12/18/2010	66251	12
12/18/2010	66262	3717
12/18/2010	66042	656
12/18/2010	66043	103
12/18/2010	66071	2
12/18/2010	66073	258
12/18/2010	66075	608
12/18/2010	66079	86
