# Generic Ad Server template file (user: 63978 ds_id: 2) 
#       Tracking Code 
Date	Tracking Code	Event 21
02/28/2011	55886	45
02/28/2011	64011	1108
02/28/2011	64012	1601
02/28/2011	64183	26
02/28/2011	64189	15
02/28/2011	64209	14
02/28/2011	64037	765
02/28/2011	65927	350
02/28/2011	65928	17
02/28/2011	65929	1832
02/28/2011	65934	80
02/28/2011	66243	491
02/28/2011	66470	47
02/28/2011	67547	1972
02/28/2011	67685	22
02/28/2011	67687	79
02/28/2011	67689	1
02/28/2011	67429	16922
02/28/2011	67432	14972
02/28/2011	67433	14972
02/28/2011	67436	1381
02/28/2011	67438	2035
02/28/2011	67440	5649
02/28/2011	67442	92
02/28/2011	67443	1789
02/28/2011	67444	7990
02/28/2011	67445	7048
02/28/2011	67446	7000
02/28/2011	67453	1755
02/28/2011	67456	120
02/28/2011	67458	71
02/28/2011	67459	6
02/28/2011	67460	3
02/28/2011	67461	1
02/28/2011	67465	2081
02/28/2011	67466	1801
02/28/2011	67467	1785
02/28/2011	67468	1230
02/28/2011	67717	928
02/28/2011	67718	8
02/28/2011	68001	3597
02/28/2011	68002	2899
02/28/2011	68003	7601
02/28/2011	68009	21026
02/28/2011	68010	22924
02/28/2011	68012	3161
02/28/2011	68014	3510
02/28/2011	68015	1859
02/28/2011	68026	8548
02/28/2011	68033	3482
02/28/2011	68034	2292
02/28/2011	68035	2700
02/28/2011	68036	1930
02/28/2011	68037	2678
02/28/2011	68038	1588
02/28/2011	68571	285
02/28/2011	68575	4585
02/28/2011	68577	2809
02/28/2011	68578	9047
02/28/2011	68580	1990
02/28/2011	68581	1745
02/28/2011	68582	11024
02/28/2011	68586	119
02/28/2011	68587	4925
02/28/2011	68588	2918
02/28/2011	68590	2055
02/28/2011	68592	2819
02/28/2011	68593	5753
02/28/2011	68594	8111
02/28/2011	68595	2775
02/28/2011	68596	7229
02/28/2011	68601	14
02/28/2011	68603	6287
02/28/2011	68606	3171
